PARTNAME,PDES,TQUANT,TUNITNAME,PRICE,VPRICE,PURCHASEPRICE,ICODE,DUEDATE,CLOSEDBOOL,TBALANCE,PACKBALANCE,TAXSUM,PACKED,PACKPACKED,PERCENT,DISPRICE,QPRICE,VATPRICE,QPROFIT,QPROFITPERCENT,PRICEBAL,CODE,PRSOURCENAME,PURSOURCENAME,NUMPACK,PACKCODE,MODELNAME,PLANHOURSD,PLANHOURSSUM,REVNAME,VATFLAGA,COMMISSION,COMMISSION2,BARCODE,SERIALNAME,CUSTPARTNAME,CUSTPARTBARCODE,YOURORDLINE,QUANT,ABALANCE,PBALANCE,UNITNAME,UNSPSCCODE,UNSPSCDES,CLUSTNAME,MRP,ATP,PDATE,PRDATE,CASHFLOWDATE,DCODE,CODEDES,BUDCODE,COSTCNAME,EXCH,PBONUSFLAG,ORDISTATUSDES,COPYFAVSUPFLAG,SUPNAME,OBFLAG,PREPAYED,PAYCUSTNAME,PARTTREEFLAG,PURTAXPERCENT,PAYCUSTDES,LCODE,LEXCH,PROJCOSTFLAG,MPARTNAME,MPARTDES,MMPARTNAME,REMARK1,REMARK2,KITNUM,QRANKCODE,QRANKDES,DCMONTHS,MINEXPDAYS,WARHSREMARK,DEALNAME,DLINE,CHARGEPULSES,DS,RRMETHODNAME,RRMETHODDES,RRTIMINGNAME,RRTIMINGDES,FROMDATE,TODATE,AFLAG,SOF_EXTFILENAME,Y_4060_5_ESH,ORDI,KLINE,ORDNAME
20061442,בד מדגסקר מס' 442 חום,12.5,מטר,59.0,69.03,0.0,"ש""ח",2024-05-22T00:00:00Z,,12.5,0,0.0,0,0,0.0,59.0,737.5,862.88,737.5,0.0,737.5,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20061442,,,,0,12.5,12.5,12.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20061442,,,0,,,0,0,,,0,,,,,,,,,,,MADAGASCAR NO 442,5146,1,1003667
20051110,בד קורסיקה מס' 110 בז',1.0,מטר,55.0,64.35,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,55.0,55.0,64.35,55.0,0.0,55.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20051110,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20051110,,,0,,,0,0,,,0,,,,,,,,,,,CORSICA NO 110 BEIGE,5144,1,1003666
20017014,בד ווג מס' 14 אפור בטון,2.4,מטר,48.27,56.48,13.12,"ש""ח",2024-05-22T00:00:00Z,,2.4,0,0.0,0,0,0.0,48.27,115.85,135.54,84.36,267.91,115.85,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20017014,,,,0,2.4,2.4,2.4,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20017014,,,0,,,0,0,,,0,,,,,,,,,,,VOGUE NO 14 GREY CONCRETE,5145,2,1003666
20051110,בד קורסיקה מס' 110 בז',11.0,מטר,69.0,80.73,0.0,"ש""ח",2024-05-22T00:00:00Z,,11.0,0,0.0,0,0,0.0,69.0,759.0,888.03,759.0,0.0,759.0,"ש""ח",מחירון לקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20051110,,,,0,11.0,11.0,11.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20051110,,,0,,,0,0,,,0,,,,,,,,,,,CORSICA NO 110 BEIGE,5143,1,1003665
20004032,בד ואלוטו מס' 32 בז' כהה,1.0,מטר,69.0,80.73,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,69.0,69.0,80.73,69.0,0.0,69.0,"ש""ח",מחירון לקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20004032,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20004032,,,0,,,0,0,,,0,,,,,,,,,,,VELUTTO NO 32  DARK BEIGE,5142,1,1003664
20004012,בד ואלוטו מס' 12 טורקיז,5.0,מטר,59.0,69.03,0.0,"ש""ח",2024-05-22T00:00:00Z,,5.0,0,0.0,0,0,0.0,59.0,295.0,345.15,295.0,0.0,295.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20004012,,,,0,5.0,5.0,5.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20004012,,,0,,,0,0,,,0,,,,,,,,,,,VELUTTO NO 12 turquoise,5141,1,1003663
20019151,בד פלוטו מס' 151 חלב,18.0,מטר,49.0,57.33,0.0,"ש""ח",2024-05-22T00:00:00Z,,18.0,0,0.0,0,0,0.0,49.0,882.0,1031.94,882.0,0.0,882.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20019151,,,,0,18.0,18.0,18.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20019151,,,0,,,0,0,,,0,,,,,,,,,,,PLUTO NO.151 MILK,5140,1,1003662
11001300,דמוי עור רוגל מס' 300 קויו,35.0,מטר,55.0,64.35,0.0,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,55.0,1925.0,2252.25,1925.0,0.0,0.0,"ש""ח",ידני,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,11001300,,,,0,35.0,0.0,35.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,11001300,,,0,,,0,0,,,0,,,,,,,,,,,ROGEL NO. 300 CUOIO,5139,1,1003661
20052101,בד קאלי מס' 101 לבן,8.0,מטר,54.0,63.18,0.0,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,54.0,432.0,505.44,432.0,0.0,0.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20052101,,,,0,8.0,0.0,8.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20052101,,,0,,,0,0,,,0,,,,,,,,,,,CALI 101,5138,1,1003660
20019151,בד פלוטו מס' 151 חלב,2.4,מטר,49.0,57.33,0.0,"ש""ח",2024-05-22T00:00:00Z,,2.4,0,0.0,0,0,0.0,49.0,117.6,137.59,117.6,0.0,117.6,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20019151,,,,0,2.4,2.4,2.4,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20019151,,,0,,,0,0,,,0,,,,,,,,,,,PLUTO NO.151 MILK,5137,1,1003659
3001948009,סוליד אנד סטריפס מס' 48009137 ARBOR PEBBLE - מותג סנברלה,1.0,מטר,130.0,152.1,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,130.0,130.0,152.1,130.0,0.0,130.0,"ש""ח",מחירון לקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,3001948009,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,3001948009,,,0,,,0,0,,,0,,,,,,,,,,,SOLIDS & STRIPES NO. 48009137 ARBOR PEBBLE,5136,1,1003658
20042019,בד מיורקה מס' 19 פיסטוק,1.5,מטר,55.0,64.35,11.02,"ש""ח",2024-05-22T00:00:00Z,,1.5,0,0.0,0,0,0.0,55.0,82.5,96.53,65.97,399.09,82.5,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20042019,,,,0,1.5,1.5,1.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20042019,,,0,,,0,0,,,0,,,,,,,,,,,MAIORCA NO 19,5129,1,1003656
20042006,בד מיורקה מס' 6 ורוד עתיק,2.5,מטר,55.0,64.35,0.0,"ש""ח",2024-05-22T00:00:00Z,,2.5,0,0.0,0,0,0.0,55.0,137.5,160.88,137.5,0.0,137.5,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20042006,,,,0,2.5,2.5,2.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20042006,,,0,,,0,0,,,0,,,,,,,,,,,MAIORCA NO 6,5130,2,1003656
20027436,בד גארדה מס' 436 אפור טאופ,6.0,מטר,90.0,105.3,0.0,"ש""ח",2024-05-22T00:00:00Z,,6.0,0,0.0,0,0,0.0,90.0,540.0,631.8,540.0,0.0,540.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20027436,,,,0,6.0,6.0,6.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20027436,,,0,,,0,0,,,0,,,,,,,,,,,GARDA / GYO 436 taupe gray,5127,1,1003655
20017008,בד ווג מס' 8 אפרסק,9.0,מטר,52.56,61.5,13.12,"ש""ח",2024-05-22T00:00:00Z,,9.0,0,0.0,0,0,0.0,52.56,473.04,553.46,354.96,300.61,473.04,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20017008,,,,0,9.0,9.0,9.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20017008,,,0,,,0,0,,,0,,,,,,,,,,,VOGUE NO 8 PEACH,5128,2,1003655
20041902,בד הילטון מס' 902 טאופ בהיר,3.0,מטר,69.0,80.73,17.41,"ש""ח",2024-05-22T00:00:00Z,,3.0,0,0.0,0,0,0.0,69.0,207.0,242.19,154.77,296.32,207.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20041902,,,,0,3.0,3.0,3.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20041902,,,0,,,0,0,,,0,,,,,,,,,,,HILTON/PANAMA NO 902 Light taupe,5125,1,1003654
